Price,open,high,low,close,adjusted_close,volume,daily_return
Ticker,SPY,SPY,SPY,SPY,SPY,SPY,
Date,,,,,,,
2018-02-02,280.0799865722656,280.2300109863281,275.4100036621094,275.45001220703125,245.220947265625,173174800,-0.02176974409565169
2018-02-05,273.45001220703125,275.8500061035156,263.30999755859375,263.92999267578125,234.96519470214844,294681800,-0.04182249794658632
2018-02-06,259.94000244140625,269.70001220703125,258.70001220703125,269.1300048828125,239.5945587158203,355026800,0.01970233940197086
2018-02-07,268.5,272.3599853515625,267.5799865722656,267.6700134277344,238.29476928710938,167376100,-0.0054249538707287215
2018-02-08,268.010009765625,268.1700134277344,257.5899963378906,257.6300048828125,229.35659790039062,246449500,-0.03750888621457571
2018-02-09,260.79998779296875,263.6099853515625,252.9199981689453,261.5,232.8018798828125,283565300,0.015021508053228771
2018-02-12,263.8299865722656,267.010009765625,261.6600036621094,265.3399963378906,236.22042846679688,143736000,0.014684368466892028
2018-02-13,263.9700012207031,266.6199951171875,263.30999755859375,266.0,236.80799865722656,81223600,0.0024873809358629817
2018-02-14,264.30999755859375,270.0,264.29998779296875,269.5899963378906,240.00401306152344,120735700,0.013496226573507908
2018-02-15,271.57000732421875,273.0400085449219,268.7699890136719,273.0299987792969,243.06649780273438,111200300,0.012760139724938169
2018-02-16,272.32000732421875,275.32000732421875,272.2699890136719,273.1099853515625,243.13778686523438,160420100,0.00029329036763359184
2018-02-20,272.0299987792969,273.6700134277344,270.5,271.3999938964844,241.61534118652344,86369700,-0.0062616580431194
2018-02-21,271.8999938964844,274.7200012207031,269.94000244140625,270.04998779296875,240.4134979248047,98883700,-0.004974200958501873
2018-02-22,271.1000061035156,273.04998779296875,269.6400146484375,270.3999938964844,240.72511291503906,110511300,0.0012961626236636103
2018-02-23,271.7900085449219,274.7099914550781,271.25,274.7099914550781,244.5620880126953,92766400,0.01593923895680316
2018-02-26,275.92999267578125,278.010009765625,275.260009765625,277.8999938964844,247.40206909179688,86491400,0.011612515669044088
2018-02-27,278.1099853515625,278.9200134277344,274.3599853515625,274.42999267578125,244.3127899169922,99099200,-0.01248687687271699
2018-02-28,275.67999267578125,276.19000244140625,271.2900085449219,271.6499938964844,241.83795166015625,121907800,-0.010129794095826039
2018-03-01,271.4100036621094,273.1700134277344,266.0,267.70001220703125,238.32142639160156,176855100,-0.014540833001663422
2018-03-02,265.79998779296875,269.7200012207031,264.82000732421875,269.0799865722656,239.5500030517578,139083200,0.005155124651433862
2018-03-05,267.7300109863281,272.8900146484375,267.6099853515625,272.19000244140625,242.31866455078125,97307400,0.011557760232736136
2018-03-06,273.29998779296875,273.3900146484375,271.17999267578125,272.8800048828125,242.9329833984375,79213200,0.002535169334954457
2018-03-07,270.4200134277344,273.17999267578125,270.20001220703125,272.7799987792969,242.84393310546875,87063500,-0.0003665632048930334
2018-03-08,273.54998779296875,274.239990234375,272.4200134277344,274.1000061035156,244.0190887451172,66901200,0.004839139379026802
2018-03-09,275.70001220703125,278.8699951171875,275.3399963378906,278.8699951171875,248.26559448242188,113625300,0.01740235060766193
2018-03-12,279.20001220703125,279.9100036621094,278.0799865722656,278.5199890136719,247.9540252685547,71924800,-0.0012549834563937434
2018-03-13,279.8399963378906,280.4100036621094,276.0299987792969,276.7200012207031,246.35157775878906,91968900,-0.006462679958633588
2018-03-14,277.80999755859375,278.0199890136719,274.6700134277344,275.29998779296875,245.08737182617188,105895100,-0.005131714373897811
2018-03-15,275.8800048828125,276.6099853515625,274.42999267578125,275.0,244.8203125,83433000,-0.0010896494755400221
2018-03-16,274.5,275.3900146484375,274.1400146484375,274.20001220703125,245.0858154296875,100343700,0.0010844808054377708
2018-03-19,273.3500061035156,274.3999938964844,268.6199951171875,270.489990234375,241.7696533203125,109208400,-0.013530616219306957
2018-03-20,270.94000244140625,271.6700134277344,270.17999267578125,270.95001220703125,242.18089294433594,59757300,0.0017009563374712489
